order_item_id,order_id,product_id,quantity,unit_price,discount_pct,line_total
1,1,29,2,2439.0,0,4878.0
2,2,33,1,1149.0,10,1034.1
3,2,45,1,2579.0,0,2579.0
4,2,19,2,339.0,0,678.0
5,3,1,1,2449.0,0,2449.0
6,3,48,1,769.0,15,653.65
7,3,17,1,1929.0,15,1639.65
8,4,42,2,1809.0,10,3256.2
9,4,24,2,1159.0,5,2202.1
10,5,12,1,1629.0,0,1629.0
11,5,44,1,2559.0,0,2559.0
12,5,5,1,1309.0,5,1243.55
13,6,9,1,739.0,0,739.0
14,7,10,1,989.0,0,989.0
15,7,3,1,1099.0,0,1099.0
16,8,32,1,499.0,5,474.05
17,8,37,1,929.0,0,929.0
18,9,5,1,1309.0,0,1309.0
19,9,33,1,1149.0,5,1091.55
20,10,43,1,1379.0,0,1379.0
21,11,34,1,1229.0,20,983.2
22,11,31,1,959.0,0,959.0
23,11,36,1,489.0,10,440.1
24,11,49,1,659.0,0,659.0
25,12,8,1,2629.0,0,2629.0
26,13,24,1,1159.0,0,1159.0
27,13,33,1,1149.0,15,976.65
28,13,29,1,2439.0,0,2439.0
29,13,32,1,499.0,5,474.05
30,14,35,2,389.0,0,778.0
31,15,44,1,2559.0,0,2559.0
32,15,28,1,909.0,10,818.1
33,15,7,1,919.0,15,781.15
34,16,44,1,2559.0,0,2559.0
35,17,4,1,2979.0,0,2979.0
36,18,17,1,1929.0,0,1929.0
37,19,25,1,2249.0,10,2024.1
38,20,48,1,769.0,0,769.0
39,20,38,1,909.0,10,818.1
40,21,20,1,1729.0,5,1642.55
41,22,2,1,759.0,5,721.05
42,23,35,1,389.0,0,389.0
43,24,47,1,619.0,0,619.0
44,24,42,1,1809.0,15,1537.65
45,25,26,1,1159.0,5,1101.05
46,26,47,1,619.0,0,619.0
47,27,12,1,1629.0,10,1466.1
48,27,15,1,1289.0,0,1289.0
49,27,40,1,529.0,0,529.0
50,28,19,1,339.0,0,339.0
51,28,43,2,1379.0,0,2758.0
52,28,5,1,1309.0,5,1243.55
53,29,7,1,919.0,5,873.05
54,29,19,1,339.0,15,288.15
55,30,20,1,1729.0,10,1556.1
56,31,28,1,909.0,0,909.0
57,32,42,2,1809.0,0,3618.0
58,33,31,1,959.0,0,959.0
59,33,30,1,599.0,10,539.1
60,34,6,1,2589.0,10,2330.1
61,35,41,1,1199.0,0,1199.0
